"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00011862,0.13612,0.0019596,-0.005786,0.00020847,3.2751e-05,5.5417e-05,-3.4318e-05,-2.8768e-06,-1.0541e-06,1,0.194,2,0.194,1.5
0.00011845,0.13608,0.0018866,-0.005621,0.00020697,3.2897e-05,5.5127e-05,-3.441e-05,-2.947e-06,-9.0967e-07,1,0.196,2,0.196,1.5
0.00011826,0.13625,0.0018533,-0.0055981,0.00020511,3.2985e-05,5.485e-05,-3.4487e-05,-2.952e-06,-9.4064e-07,1,0.198,2,0.198,1.5
0.00011807,0.13641,0.0018201,-0.0055752,0.00020325,3.3074e-05,5.4573e-05,-3.4565e-05,-2.9571e-06,-9.7161e-07,1,0.2,2,0.2,1.5
0.00011788,0.13658,0.0017868,-0.0055523,0.0002014,3.3163e-05,5.4295e-05,-3.4642e-05,-2.9622e-06,-1.0026e-06,1,0.202,2,0.202,1.5
0.0001177,0.13675,0.0017535,-0.0055294,0.00019954,3.3251e-05,5.4018e-05,-3.472e-05,-2.9672e-06,-1.0336e-06,1,0.204,2,0.204,1.5
0.00011751,0.13691,0.0017203,-0.0055066,0.00019769,3.334e-05,5.3741e-05,-3.4797e-05,-2.9723e-06,-1.0645e-06,1,0.206,2,0.206,1.5
0.00011732,0.13708,0.001687,-0.0054837,0.00019583,3.3429e-05,5.3464e-05,-3.4875e-05,-2.9773e-06,-1.0955e-06,1,0.208,2,0.208,1.5
0.00011713,0.13724,0.0016538,-0.0054608,0.00019397,3.3517e-05,5.3187e-05,-3.4952e-05,-2.9824e-06,-1.1265e-06,1,0.21,2,0.21,1.5
0.0001173,0.13721,0.0015807,-0.0053124,0.00019255,3.3591e-05,5.3003e-05,-3.4973e-05,-3.022e-06,-1.0157e-06,1,0.212,2,0.212,1.5
0.00011747,0.13716,0.0015065,-0.0051604,0.00019114,3.3664e-05,5.2821e-05,-3.4992e-05,-3.0626e-06,-9.0093e-07,1,0.214,2,0.214,1.5
0.00011765,0.13712,0.0014322,-0.0050084,0.00018972,3.3737e-05,5.264e-05,-3.5012e-05,-3.1033e-06,-7.8615e-07,1,0.216,2,0.216,1.5
0.00011782,0.13708,0.001358,-0.0048564,0.00018831,3.381e-05,5.2458e-05,-3.5031e-05,-3.1439e-06,-6.7138e-07,1,0.218,2,0.218,1.5
0.000118,0.13703,0.0012838,-0.0047043,0.0001869,3.3884e-05,5.2277e-05,-3.5051e-05,-3.1845e-06,-5.5661e-07,1,0.22,2,0.22,1.5
0.00011817,0.13699,0.0012096,-0.0045523,0.00018549,3.3957e-05,5.2096e-05,-3.507e-05,-3.2251e-06,-4.4183e-07,1,0.222,2,0.222,1.5
0.00011834,0.13695,0.0011354,-0.0044003,0.00018408,3.403e-05,5.1914e-05,-3.509e-05,-3.2657e-06,-3.2706e-07,1,0.224,2,0.224,1.5
0.00011851,0.13691,0.0010563,-0.0042547,0.0001827,3.4107e-05,5.1733e-05,-3.5125e-05,-3.3024e-06,-2.1572e-07,1,0.226,2,0.226,1.5
0.00011859,0.13695,0.00094144,-0.0041557,0.00018159,3.4209e-05,5.1554e-05,-3.5274e-05,-3.3104e-06,-1.2935e-07,1,0.228,2,0.228,1.5
0.00011867,0.13699,0.00082661,-0.0040566,0.00018049,3.4311e-05,5.1376e-05,-3.5422e-05,-3.3185e-06,-4.2974e-08,1,0.23,2,0.23,1.5
0.00011876,0.13703,0.00071178,-0.0039576,0.00017938,3.4413e-05,5.1197e-05,-3.5571e-05,-3.3265e-06,4.3396e-08,1,0.232,2,0.232,1.5
0.00011884,0.13706,0.00059694,-0.0038586,0.00017827,3.4515e-05,5.1019e-05,-3.572e-05,-3.3346e-06,1.2977e-07,1,0.234,2,0.234,1.5
0.00011892,0.1371,0.00048211,-0.0037595,0.00017716,3.4617e-05,5.084e-05,-3.5869e-05,-3.3426e-06,2.1614e-07,1,0.236,2,0.236,1.5
0.000119,0.13714,0.00036728,-0.0036605,0.00017606,3.4719e-05,5.0662e-05,-3.6018e-05,-3.3506e-06,3.0251e-07,1,0.238,2,0.238,1.5
0.00011909,0.13717,0.00025245,-0.0035614,0.00017495,3.4821e-05,5.0483e-05,-3.6167e-05,-3.3587e-06,3.8888e-07,1,0.24,2,0.24,1.5
0.00011923,0.1372,0.0001615,-0.0034551,0.00017383,3.4899e-05,5.0333e-05,-3.6266e-05,-3.3715e-06,4.8468e-07,1,0.242,2,0.242,1.5
0.00011953,0.13721,0.00013541,-0.003329,0.00017268,3.4914e-05,5.0261e-05,-3.6226e-05,-3.3974e-06,6.061e-07,1,0.244,2,0.244,1.5
0.00011983,0.13721,0.00010931,-0.0032029,0.00017152,3.4928e-05,5.0189e-05,-3.6187e-05,-3.4233e-06,7.2751e-07,1,0.246,2,0.246,1.5
0.00012013,0.13721,8.3212e-05,-0.0030768,0.00017037,3.4943e-05,5.0117e-05,-3.6147e-05,-3.4492e-06,8.4892e-07,1,0.248,2,0.248,1.5
0.00012043,0.13722,5.7114e-05,-0.0029507,0.00016921,3.4958e-05,5.0045e-05,-3.6108e-05,-3.4751e-06,9.7034e-07,1,0.25,2,0.25,1.5
0.00012073,0.13722,3.1016e-05,-0.0028246,0.00016806,3.4972e-05,4.9973e-05,-3.6069e-05,-3.501e-06,1.0918e-06,1,0.252,2,0.252,1.5
0.00012104,0.13723,4.9189e-06,-0.0026985,0.0001669,3.4987e-05,4.9901e-05,-3.6029e-05,-3.5269e-06,1.2132e-06,1,0.254,2,0.254,1.5
0.00012134,0.13723,-2.1179e-05,-0.0025724,0.00016575,3.5002e-05,4.9829e-05,-3.599e-05,-3.5528e-06,1.3346e-06,1,0.256,2,0.256,1.5
0.00012164,0.13723,-4.7276e-05,-0.0024463,0.00016459,3.5016e-05,4.9757e-05,-3.5951e-05,-3.5787e-06,1.456e-06,1,0.258,2,0.258,1.5
0.00012181,0.1372,-0.00013411,-0.0023282,0.00016382,3.5079e-05,4.9695e-05,-3.5999e-05,-3.594e-06,1.6648e-06,1,0.26,2,0.26,1.5
0.0001219,0.13715,-0.00026104,-0.0022154,0.0001633,3.5174e-05,4.9638e-05,-3.6105e-05,-3.6022e-06,1.9314e-06,1,0.262,2,0.262,1.5
0.00012199,0.1371,-0.00038796,-0.0021026,0.00016278,3.5269e-05,4.9581e-05,-3.6212e-05,-3.6104e-06,2.1979e-06,1,0.264,2,0.264,1.5
